event_date,longitude,latitude,humidity
2008-10-06 00:00:00,107.5614,-7.1283,81.26
2008-10-06 00:00:00,-0.0798,6.011,79.58
2008-10-07 00:00:00,101.699,3.19,87.07
2008-10-07 00:00:00,-119.5625,37.73,22.47
2008-10-08 00:00:00,-119.5676,37.75,17.96
2008-10-10 00:00:00,108.4058,34.9667,75.58
2008-10-10 00:00:00,100.266,5.35,89.01
2008-10-10 00:00:00,-122.0698,45.5887,76.98
2008-10-11 00:00:00,108.2167,15.33,90.5
2008-10-12 00:00:00,-83.706,9.519,90.53
2008-10-12 00:00:00,107.88,15.8,96.72
2008-10-12 00:00:00,-84.397,9.764,90.78
2008-10-12 00:00:00,-60.946,13.74,80.44
2008-10-12 00:00:00,78.1333,27.0167,64.92
2008-10-13 00:00:00,104.4333,31.8833,73.42
2008-10-14 00:00:00,123.6028,10.1203,82.13
2008-10-15 00:00:00,-83.064,8.67,94.71
2008-10-15 00:00:00,101.746,3.0949,84.41
